Feature,rho,p-val,alpha,Significant,Corrected p-val,Correction method
INTENSITY-HISTOGRAM_IntensityHistogramCoefficientOfVariation(IBSI:CWYJ)[Intensity],0.4422752513707877,1.2745674079971578e-05,0.05,True,0.0013128044302370726,bonferroni
INTENSITY-HISTOGRAM_IntensityHistogramQuartileCoefficientOfDispersion(IBSI:SLWD)[Intensity],0.4184539891125892,4.055230193015911e-05,0.05,True,0.004176887098806388,bonferroni
INTENSITY-HISTOGRAM_IntensityHistogramEntropyLog2(IBSI:TLU2)[Intensity],0.4385218312249388,1.5384690885647625e-05,0.05,True,0.0015846231612217053,bonferroni
INTENSITY-HISTOGRAM_Uniformity(IBSI:BJ5W)[Intensity],-0.41853114859792806,4.0406159102912586e-05,0.05,True,0.004161834387599996,bonferroni
INTENSITY-HISTOGRAM_MaximumHistogramGradient(IBSI:12CE)[Intensity],0.8762223801841676,1.2166511906253537e-29,0.05,True,1.2531507263441142e-27,bonferroni
INTENSITY-HISTOGRAM_MaximumHistogramGradientGreyLevel(IBSI:8E6O)[Intensity],-0.12333809259161395,0.24679870357080547,0.05,False,1.0,bonferroni
INTENSITY-HISTOGRAM_MinimumHistogramGradient(IBSI:VQB3)[Intensity],-0.8606752878221057,1.5656595808723097e-27,0.05,True,1.612629368298479e-25,bonferroni
INTENSITY-HISTOGRAM_MinimumHistogramGradientGreyLevel(IBSI:RHQZ)[Intensity],-0.12767177094291404,0.23045616541472597,0.05,False,1.0,bonferroni
GLCM_JointMaximum(IBSI:GYBY),-0.3194967368526323,0.002144023161654386,0.05,False,0.22083438565040178,bonferroni
GLCM_JointAverage(IBSI:60VM),-0.24415419327579826,0.020390307796058143,0.05,False,1.0,bonferroni
GLCM_JointVariance(IBSI:UR99),0.4195480443643144,3.8525448049993836e-05,0.05,True,0.003968121149149365,bonferroni
GLCM_JointEntropyLog2(IBSI:TU9B),0.3995325594015382,9.576032114311474e-05,0.05,True,0.009863313077740818,bonferroni
GLCM_DifferenceAverage(IBSI:TF7R),0.11543833809799442,0.278603085707053,0.05,False,1.0,bonferroni
GLCM_DifferenceVariance(IBSI:D3YU),0.19273895123387122,0.06875468253127837,0.05,False,1.0,bonferroni
GLCM_DifferenceEntropy(IBSI:NTRS),0.3995325594015382,9.576032114311474e-05,0.05,True,0.009863313077740818,bonferroni
GLCM_SumAverage(IBSI:ZGXS),-0.24415419327579826,0.020390307796058143,0.05,False,1.0,bonferroni
GLCM_SumVariance(IBSI:OEEB),0.35986937470635716,0.0004943766643218936,0.05,False,0.05092079642515505,bonferroni
GLCM_SumEntropy(IBSI:P6QZ),0.3458468344237857,0.0008414447779650297,0.05,False,0.08666881213039807,bonferroni
GLCM_AngularSecondMoment(IBSI:8ZQL),-0.33512089341847767,0.0012435591624591108,0.05,False,0.1280865937332884,bonferroni
GLCM_Contrast(IBSI:ACUI),0.1472928046661798,0.16593673683168658,0.05,False,1.0,bonferroni
GLCM_Dissimilarity(IBSI:8S9J),0.11543833809799442,0.278603085707053,0.05,False,1.0,bonferroni
GLCM_InverseDifference(IBSI:IB1Z),-0.042304517370725304,0.6921764768406105,0.05,False,1.0,bonferroni
GLCM_NormalisedInverseDifference(IBSI:NDRX),0.7529741115054814,1.1346539928432421e-17,0.05,True,1.1686936126285394e-15,bonferroni
GLCM_InverseDifferenceMoment(IBSI:WF0Z),-0.024438568174294316,0.8191503527867021,0.05,False,1.0,bonferroni
GLCM_NormalisedInverseDifferenceMoment(IBSI:1QCO),0.7983375836206211,4.379312342437911e-21,0.05,True,4.510691712711049e-19,bonferroni
GLCM_Correlation(IBSI:NI2N),0.6912080280040765,4.6741513178693647e-14,0.05,True,4.814375857405446e-12,bonferroni
GLCM_Autocorrelation(IBSI:QWB0),-0.2279996052471883,0.03067124671655874,0.05,False,1.0,bonferroni
GLCM_ClusterTendency(IBSI:DG8W),0.35986937470635716,0.0004943766643218936,0.05,False,0.05092079642515505,bonferroni
GLCM_ClusterShade(IBSI:7NFM),-0.01293028437909212,0.9037244736518122,0.05,False,1.0,bonferroni
GLCM_ClusterProminence(IBSI:AE86),0.45844637428990803,5.520832576261876e-06,0.05,True,0.0005686457553549732,bonferroni
GLRLM_ShortRunsEmphasis(IBSI:22OV),-0.2931966785294904,0.005038804658854249,0.05,False,0.5189968798619876,bonferroni
GLRLM_LongRunsEmphasis(IBSI:W4KF),0.35803825166581993,0.0005306657769794973,0.05,False,0.05465857502888822,bonferroni
GLRLM_LowGreyLevelRunEmphasis(IBSI:V3SW),0.26010209517302885,0.013292884097048947,0.05,False,1.0,bonferroni
GLRLM_HighGreyLevelRunEmphasis(IBSI:G3QZ),-0.2330923515243755,0.027039459912301226,0.05,False,1.0,bonferroni
GLRLM_ShortRunLowGreyLevelEmphasis(IBSI:HTZT),0.18600098335090443,0.07921723077808956,0.05,False,1.0,bonferroni
GLRLM_ShortRunHighGreyLevelEmphasis(IBSI:GD3A),-0.2976362966315188,0.0043853265316785755,0.05,False,0.4516886327628933,bonferroni
GLRLM_LongRunLowGreyLevelEmphasis(IBSI:IVPO),0.4419941582321118,1.2927565948309191e-05,0.05,True,0.0013315392926758467,bonferroni
GLRLM_LongRunHighGreyLevelEmphasis(IBSI:3KUM),0.06819815590993025,0.523027945120492,0.05,False,1.0,bonferroni
GLRLM_GreyLevelNonUniformity(IBSI:R5YN),0.8686770078516415,1.3885177572579243e-28,0.05,True,1.430173289975662e-26,bonferroni
GLRLM_RunLengthNonUniformity(IBSI:W92Y),0.9237712630321209,1.896924276751764e-38,0.05,True,1.953832005054317e-36,bonferroni
GLRLM_RunPercentage(IBSI:9ZK5),-0.3408088957540374,0.0010126332234599931,0.05,False,0.10430122201637929,bonferroni
NGTDM_Coarseness(IBSI:QCDE),-0.8970178101863779,5.90439307773099e-33,0.05,True,6.08152487006292e-31,bonferroni
NGTDM_Contrast(IBSI:65HE),-0.20313112991962493,0.05483212477227137,0.05,False,1.0,bonferroni
NGTDM_Busyness(IBSI:NQ30),0.6739290674207631,3.3449628774331764e-13,0.05,True,3.4453117637561714e-11,bonferroni
NGTDM_Complexity(IBSI:HDEZ),0.5046944630473513,3.930426977727519e-07,0.05,True,4.0483397870593444e-05,bonferroni
NGTDM_Strength(IBSI:1X9X),-0.1536504700674086,0.1482103779076696,0.05,False,1.0,bonferroni
GLSZM_SmallZoneEmphasis(IBSI:5QRC),0.21933532261976596,0.03779456972870257,0.05,False,1.0,bonferroni
GLSZM_LargeZoneEmphasis(IBSI:48P8),0.6780379877125844,2.120278036044565e-13,0.05,True,2.183886377125902e-11,bonferroni
GLSZM_LowGrayLevelZoneEmphasis(IBSI:XMSY),0.2683116683114167,0.010560496358702359,0.05,False,1.0,bonferroni
GLSZM_HighGrayLevelZoneEmphasis(IBSI:5GN9),-0.2494536256843648,0.017737223130480297,0.05,False,1.0,bonferroni
GLSZM_SmallZoneLowGreyLevelEmphasis(IBSI:5RAI),0.3224799696233166,0.0019364623168930588,0.05,False,0.19945561863998507,bonferroni
GLSZM_SmallZoneHighGreyLevelEmphasis(IBSI:HW1V),-0.15770151824244386,0.13768134853626407,0.05,False,1.0,bonferroni
GLSZM_LargeZoneLowGreyLevelEmphasis(IBSI:YH51),0.7375801284403475,1.1223486974988772e-16,0.05,True,1.1560191584238435e-14,bonferroni
GLSZM_LargeZoneHighGreyLevelEmphasis(IBSI:J17V),0.5311254855281425,7.222771077195396e-08,0.05,True,7.439454209511257e-06,bonferroni
GLSZM_GreyLevelNonUniformity(IBSI:JNSA),0.8948306200865482,1.4182679911364753e-32,0.05,True,1.4608160308705696e-30,bonferroni
GLSZM_NormalisedGreyLevelNonUniformity(IBSI:Y1RO),-0.5033406736463181,4.270466973376147e-07,0.05,True,4.398580982577432e-05,bonferroni
GLSZM_ZoneSizeNonUniformity(IBSI:4JP3),0.8581690849323153,3.242288202346332e-27,0.05,True,3.3395568484167225e-25,bonferroni
GLSZM_NormalisedZoneSizeNonUniformity(IBSI:VB3A),0.16879642977488735,0.11174605564086296,0.05,False,1.0,bonferroni
GLSZM_ZonePercentage(IBSI:P30P),-0.33334750862350354,0.0013247684992647019,0.05,False,0.13645115542426428,bonferroni
GLSZM_GreyLevelVariance(IBSI:BYLV),0.4559082685965697,6.313429872665563e-06,0.05,True,0.000650283276884553,bonferroni
GLSZM_ZoneSizeVariance(IBSI:3NSA),0.7175646434775712,1.7570455220753706e-15,0.05,True,1.8097568877376316e-13,bonferroni
GLSZM_ZoneSizeEntropy(IBSI:GU8N),0.8292412939844616,5.920902023253495e-24,0.05,True,6.0985290839511e-22,bonferroni
